"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"24117",1.81994310357102,2.97554451637415,20.1077980188266,1.06376999354272e-10,1.01623971614808e-06,14.969767589629
"381290",-2.14388533952124,3.94406592699308,-19.074951909142,1.98293411239966e-10,1.01623971614808e-06,14.3955599972694
"78896",2.80754753168061,3.03651949599822,18.5477299539775,2.75882809721034e-10,1.01623971614808e-06,14.0741647954147
"226101",-2.32974392966639,6.22352456183714,-18.2686065016481,3.29766662710147e-10,1.01623971614808e-06,13.8580226261553
"16012",-2.89611515497498,1.97844875752276,-18.2152473015021,3.41306640665958e-10,1.01623971614808e-06,13.469835411095
"231830",2.25339982481145,4.76059696752856,18.0262686035302,3.85816141286288e-10,1.01623971614808e-06,13.675997801785
"16669",-2.31272074376764,8.74189184060236,-17.0793718856912,7.26454790911731e-10,1.640127359367e-06,13.1735741098804
"55987",-1.51546863348474,2.8345119413149,-16.6433318380124,9.82987025229175e-10,1.71870346311314e-06,12.8878158709092
"231991",-2.59810458251621,4.27592952345113,-16.5363425141076,1.05988541472161e-09,1.71870346311314e-06,12.6601952877333
"14620",3.60009376671151,3.52528050769349,16.4662668173683,1.11375541516947e-09,1.71870346311314e-06,12.5407120829716
"211577",-5.14626842050727,-0.936833491489371,-16.3657336122688,1.19626285081274e-09,1.71870346311314e-06,10.4459826135036
"20317",1.710379971561,3.3888348962286,15.7728039654619,1.83872691906787e-09,2.35635077400731e-06,12.2658647029698
"74747",2.18037012538573,6.8647911022832,15.7014468228817,1.93827892065901e-09,2.35635077400731e-06,12.2257478025222
"270150",-3.21114827988465,-1.34083881791359,-15.5012570296028,2.24993134183932e-09,2.53985106617347e-06,11.1769534226848
"11636",2.76674499153779,4.30347461536789,15.2769363807749,2.66464029851246e-09,2.80746501851273e-06,11.8947105244628
"20482",1.88756079716885,8.49892507013266,14.6548839103005,4.3113343841971e-09,4.25852053799068e-06,11.4499595651827
"194126",-1.7089733203604,2.50804119325202,-14.4874589479201,4.92292834300147e-09,4.57658585487031e-06,11.2188699912545
"21953",-5.82788863265926,0.302071586676651,-14.4032658771297,5.26527789167127e-09,4.62291398888737e-06,9.98262632119733
"12992",-6.07014263352471,3.56295004142591,-14.1656533788404,6.37760388493957e-09,5.1312762220291e-06,9.20825659131845
"17131",1.97277123486981,6.71751901983883,14.1434805256436,6.49364239689838e-09,5.1312762220291e-06,11.0469206089302
"20564",-1.33143737986022,3.44179493399924,-13.8852225065725,8.02627860977549e-09,6.04034795947104e-06,10.8378628361357
"16878",3.73893325921556,6.68203416650215,13.7334381938961,9.10570818874757e-09,6.54120964613484e-06,10.637404208887
"170761",-3.31364787941005,-0.0601930586310906,-13.6237237638369,9.98298474420851e-09,6.58051217107941e-06,9.55326830318764
"73847",1.47467090878791,6.84086068344673,13.6225100290411,9.99318477005225e-09,6.58051217107941e-06,10.6206936139903
"12977",2.83562374639041,7.4775909421709,13.4190194807548,1.1872997992068e-08,7.50563441066572e-06,10.4499474090711
"12654",2.34291447312524,5.57645723604579,13.2197627736827,1.4087596605101e-08,8.30659524554181e-06,10.2809417373471
"545370",-1.56742438255758,3.10302591282644,-13.1905284982022,1.44483187321275e-08,8.30659524554181e-06,10.2540199317576
"60599",-1.25867093115399,6.11839604978039,-13.162412964577,1.48046354971768e-08,8.30659524554181e-06,10.2314073546113
"217166",2.27887939443661,6.26087761383724,13.1288502622278,1.52424235712929e-08,8.30659524554181e-06,10.2029965262086
"67111",-2.53859640968139,3.29074574604293,-13.0408250936766,1.64582339336439e-08,8.52495704065372e-06,9.93301755710209
"232016",-2.59704434679791,5.00471484116641,-13.0226568497193,1.67219481308697e-08,8.52495704065372e-06,10.1110715764666
"76123",-2.17189594243266,4.99093471974964,-12.7634378884851,2.10239744961128e-08,1.0157507401878e-05,9.88063495945632
"329739",-1.52029112638995,4.18813046970528,-12.7535712137112,2.12096775665637e-08,1.0157507401878e-05,9.87595982169034
"79362",1.78860123725529,6.1836849410102,12.7050442456097,2.21490795832152e-08,1.02954133450922e-05,9.82826856369229
"50786",1.75134045338591,0.539535996525832,12.4309664567975,2.83691936125037e-08,1.28099067386288e-05,9.57071219947116
"18019",-2.01180757857905,5.79499693194691,-12.2756143350047,3.27106669005654e-08,1.41944450718015e-05,9.43701014141017
"67971",-2.65339801437435,4.90816304728091,-12.2284548118425,3.4166160713512e-08,1.41944450718015e-05,9.39483428021212
"235542",-1.10915597439346,6.5010594105959,-12.2204082440131,3.44213902440676e-08,1.41944450718015e-05,9.38440620490895
"74134",-2.07146867497747,1.40704575239797,-12.2015369687971,3.5028053518113e-08,1.41944450718015e-05,9.31747003865992
"20677",1.52240538027464,7.46932834590839,12.1354807933324,3.72438890705695e-08,1.46210906999698e-05,9.30505882920962
"170770",2.53705512268212,4.02940845538832,12.1107183626332,3.8113013273434e-08,1.46210906999698e-05,9.20947062331947
"12833",-2.60160491915639,4.76485530267567,-11.999835869224,4.22814821230696e-08,1.46210906999698e-05,9.17913510555238
"101612",1.99727196966835,4.69815786791456,11.9764313979094,4.32225482932393e-08,1.46210906999698e-05,9.14741614925214
"22339",1.79344981981335,8.41191281756165,11.9697250768192,4.34963370899361e-08,1.46210906999698e-05,9.1514722729207
"14115",2.25443981638244,4.80129372614924,11.9588381755452,4.39447811368146e-08,1.46210906999698e-05,9.15384858410369
"14585",2.25912109882279,0.0127067407447704,11.9518144301233,4.4236735428051e-08,1.46210906999698e-05,8.64244500982313
"16835",-1.24028739806605,7.48442251346755,-11.9505666791909,4.42888183186905e-08,1.46210906999698e-05,9.13261092265042
"14287",1.42377068267748,5.14381951119619,11.9477350114144,4.44072610477444e-08,1.46210906999698e-05,9.14623308478499
"72515",1.93558117454103,6.45103453810206,11.8806226681125,4.73165654450555e-08,1.52610408223195e-05,9.07254483104176
"66234",-2.02476055476023,4.59130091298777,-11.8235607438269,4.99516680154556e-08,1.57887232263252e-05,9.02881862958107
"98682",-1.06599891043025,6.25786740766827,-11.7714547745478,5.24961245983843e-08,1.59780246591491e-05,8.96997167160321
"12740",5.31400571746547,7.40935096806576,11.7268117251854,5.47871624360854e-08,1.59780246591491e-05,8.47347043037545
"12834",-2.43788158403499,4.33697993740567,-11.7187294418503,5.52133175295988e-08,1.59780246591491e-05,8.91100413042585
"14299",2.19132340342942,2.94685524157437,11.7123256497745,5.55535022279435e-08,1.59780246591491e-05,8.84304124883042
"56040",1.06749655977819,8.77394648619759,11.7113481246789,5.56056287176159e-08,1.59780246591491e-05,8.90173748502111
"65972",1.16229429490575,6.96833669114298,11.6557915768363,5.86564094281529e-08,1.65341316379801e-05,8.84573372979893
