EntrezID	Length	MCL1-LA_BC2CTUACXX_GATCAG_L001_R1
22779	9424	330
66722	2270	0
320460	4655	0
12021	5448	127
74591	8323	2
108147	2611	1655
14268	8312	260
100042814	1193	0
667931	1019	0
71134	1093	1
433319	483	2
381269	2493	51
111175	1186	196
271711	2815	0
22596	2556	558
381270	4187	0
54380	6715	471
319695	4573	0
19981	588	296
16008	1330	17
16011	5854	55835
21958	427	0
69449	571	0
723792	1560	107
78718	551	5
109198	1801	0
21961	9966	235
435626	2336	19
100862357	817	0
12765	3043	0
227288	1125	0
100316687	67	0
76709	1597	4520
227289	990	0
227290	1820	3805
56695	3501	360
69660	2309	4084
241112	2101	1
18173	2304	14
227292	2776	1125
387219	85	0
22349	3117	2
319651	7196	1371
58184	3266	911
18802	3121	15
77264	7472	723
66821	1829	335
57751	1475	662
269209	5235	151
67534	4253	1023
104086	1890	15
241113	2832	0
22420	2068	11
22409	1962	4
12570	2704	0
260298	1479	0
12958	702	1
723900	64	0
241116	5718	1
16147	2444	0
75570	860	55
22626	2059	30
69171	2738	954
227298	2557	1600
68818	1299	407
74104	2934	313
245860	3764	874
52231	2764	372
74577	3451	224
20872	2885	960
22145	2053	6493
381272	767	5
56812	3203	1356
19275	3535	31
19711	710	0
13437	1946	1284
13346	2150	38
100503248	676	1
11790	11933	175
69080	1528	774
100862164	449	0
241118	2650	4
74241	3235	1148
319998	2185	73
98733	5770	327
16322	1463	87
71728	4458	694
20536	4441	472
100862333	771	0
620079	2188	0
13838	6328	346
18505	3868	0
100039210	1208	0
433323	3998	7
23874	2132	1017
68393	1206	3
74205	3950	3860
195434	3981	570
57814	2463	20
20254	2485	0
100862182	832	1
252903	2876	194
69368	4714	1039
100038695	1791	0
69163	1424	309
100862198	480	0
20720	2055	49
241128	2862	0
26554	2764	3730
72208	394	0
210293	7303	23
241134	4919	0
16367	9163	1054
100503073	3039	5
76867	3757	1182
100503095	2833	7
12829	7808	5
12828	8609	8
75734	1866	920
66261	1503	0
100044526	654	26
15463	3137	2748
80721	2974	14
71386	992	0
20297	802	26
71227	1670	0
77629	6512	0
98496	2667	3
227325	3632	0
100628595	77	0
14897	9632	4183
66153	900	44
71781	2349	0
100503433	891	1
381287	1760	3
621875	1334	0
100040135	1348	2
665378	1621	6
620078	1971	2
100040213	891	5
100039794	1073	33
665338	891	3
109032	1971	106
434484	2417	207
100503502	852	0
100503045	659	0
20684	2158	94
319997	1936	15
12283	3800	3936
64294	2024	2880
71141	1148	0
227326	2550	4
70060	1602	0
72792	3331	15
70247	3256	3695
15559	2072	5
78795	5258	220
100861644	653	0
227327	2595	309
383538	483	0
17975	8257	30222
100303740	116	22
80828	68	0
319336	1266	15
14767	1218	0
71863	1721	0
19231	1192	32483
18582	1092	174
26895	2231	232
18159	1042	10
208718	3171	565
11650	2113	0
76768	2337	0
11648	1680	0
13599	2698	1
69453	1999	2
11447	2910	0
11449	1921	0
26987	4928	1403
98363	1805	20
227331	5743	1331
100040591	1349	7
73234	462	89
53972	3384	542
319977	1676	8
620454	1602	245
23956	2018	51
16331	4938	5
77040	3180	753
100217415	248	2
20215	1718	7
100503175	947	0
227333	5694	2204
227334	5316	259
394430	3242	0
394434	3216	0
394432	3294	0
394435	2293	1
94284	3302	4
394433	3208	0
22236	3206	0
15504	1017	0
394436	3229	0
100040766	7526	2
381280	8439	136
78605	3662	0
171382	3844	0
75396	870	0
14659	1957	0
100503197	2622	1
320982	3967	575
78650	476	0
73475	603	0
98402	3673	2359
77331	591	0
347722	9581	1493
74403	3611	1
14472	2126	0
208372	1404	0
74918	3210	1
12778	2579	562
108679	1843	1499
433332	1207	0
12835	10841	1929
171531	4484	4760
623503	261	5
19329	1950	798
16978	5743	4248
329207	3851	4
51801	3022	408
67921	1363	1089
665783	892	294
50880	2207	849
227357	5442	37
100503326	684	0
70788	3020	2
227358	2815	122
67444	1368	956
67086	547	2
55927	1335	457
18627	5837	6203
74019	3500	247
65247	6072	151
13345	1312	5
208727	3960	427
67273	1220	1763
259040	939	0
258228	936	0
259041	1189	0
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	0
66915	711	717
260301	704	0
14733	3552	950
100504295	543	0
387167	66	0
241158	3243	3
67446	1491	190
108657	3039	1136
100037260	1689	3
23830	2877	199
64095	4396	24
208760	1088	0
16560	8257	15
11611	1517	0
71874	2362	102
381284	7348	7
208777	4474	201
69821	3315	393
269224	5119	324
66385	3653	894
404545	3217	1
110611	6238	16942
18000	3335	3944
227377	3912	338
59041	3254	2684
51800	1432	89
67026	2160	468
66615	2964	1116
21915	1310	1016
66262	4539	1008
98314	3058	183
381334	2846	4
100041596	1185	3
666009	570	7
619597	4059	0
241159	4511	0
18566	1930	1
74689	1565	0
67698	2107	323
20452	5677	18
75381	761	0
100504401	921	292
73454	356	0
75159	583	0
227394	2394	5
329217	3849	19
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	0
52392	2738	724
227399	5565	1446
252876	2041	103
18484	4103	2864
78603	1178	10
69030	1687	0
70866	2328	0
100504494	800	144
241175	5120	1
100504525	886	0
23836	3722	0
320311	8529	25
100504568	1284	1
27392	6777	1180
227446	5406	1157
100042023	231	400
21934	5022	321
635504	465	5
227449	6661	862
626049	545	0
98432	6104	1613
12043	7749	1065
320761	1243	0
70750	5582	731
20479	3272	2165
20724	2565	2531
71869	1735	0
241196	1607	0
20248	1629	0
394252	1164	0
383548	1632	0
381286	1659	0
66957	1699	16
116872	1887	0
18788	2047	1
241197	3490	1
20725	3289	64
241201	3353	0
227485	3054	4
319901	5763	376
636808	3915	0
634762	729	0
22099	3040	1381
67949	1894	1359
76707	7899	1503
68204	597	4
81879	9270	1501
14633	6708	36
16324	4255	4510
100502628	748	0
64143	2277	2246
226351	2830	894
226352	7746	1168
19258	4707	717
66343	3301	66
226356	2511	0
319229	1924	0
170706	1017	37
13167	745	4037
73103	1089	36
68428	3177	293
226359	2000	0
17167	1985	0
13798	2554	0
98452	1580	0
72999	2524	566
70829	7256	475
15564	2019	0
66942	2249	456
100502702	453	0
269109	4630	0
74117	2746	3226
74150	2597	1975
71111	2690	17
72585	2047	0
210356	7593	265
107895	3104	599
667090	484	1518
72160	2517	0
266645	2303	0
100502745	464	2
72949	3514	1358
22625	3936	0
226407	4251	1624
226409	4154	229
226412	4812	1679
387147	70	0
67812	4093	2943
226413	6166	1
17219	2901	2725
226414	2509	1836
12767	1814	1244
210417	6253	0
100042740	613	298
13137	1324	375
13136	2527	1991
22789	2034	0
12269	1883	1
12270	754	9
18640	9621	2466
226418	3843	956
212439	2909	935
64435	1911	7
100502856	1065	5
18703	3849	426
69169	1491	5
93672	1116	44
58181	824	0
329244	1023	1
16153	1306	3
17164	2567	5364
226419	2072	931
16865	2290	963
54354	3405	322
56489	3203	209
14270	8040	713
108900	2105	36
26361	4148	0
13034	2120	100
226421	2523	864
320718	3640	419
212933	3540	98
98396	4660	3175
226422	1189	121
98415	6096	2206
212980	3426	1993
13714	3671	1123
213006	4853	304
18557	3046	1069
723818	97	0
213409	958	0
213417	4269	39
74137	3132	581
68875	3410	551
213452	6385	1031
213464	3632	587
74626	1742	46
21367	9535	2
269116	10379	9
100038653	1879	0
16980	3346	37
17248	3490	1031
240752	7929	617
108954	5588	3148
240753	7457	4092
100502933	3112	25
68338	1842	1
280287	496	2
19701	1423	4
214253	2279	36
20668	3531	668
20643	492	644
70579	4395	6500
667118	5007	2911
240754	2371	11
381290	8292	181
269120	2074	13
116847	3602	1815
100502984	884	0
14264	2859	5
100502999	532	5
12227	3083	19801
667414	432	12
71884	1711	28
12654	1689	3095
53311	1829	64
11539	5786	122
17928	1480	0
68507	6067	14
57439	3169	2573
240755	1770	1
72017	1626	837
72674	2024	2673
100861791	590	0
240756	3196	608
98710	1960	614
100503055	641	1
71001	1457	0
75605	6300	3055
20980	3386	6
329251	6185	203
67196	1079	50
329252	3623	1033
13924	6089	775
100038590	915	1
320139	3264	5
68724	1702	1556
171469	2253	1
13710	2000	8054
215615	2301	2719
21854	917	690
93689	3942	125
77552	1190	104
226432	6236	1809
215690	12767	405
13007	1770	7453
27280	1467	273
21952	1114	1
16763	2992	2607
21956	1194	53
18772	4486	1169
226438	8996	0
66241	1750	742
12292	6260	1
329253	508	0
16565	9119	211
76422	2922	9
67313	3013	882
100042513	584	0
383563	1960	5
67886	7823	2099
320054	2097	8
67997	2228	171
381293	8770	103
71084	1846	0
226442	5275	953
100503460	489	6
100503474	1199	1
667686	385	88
26424	3857	3
320138	3023	0
735252	87	0
723890	80	0
19264	5664	8
338375	1887	0
59125	3366	11122
545363	1930	0
16876	5750	0
69549	571	58
75546	410	0
329260	8314	682
170788	4702	0
71209	1111	0
226470	8362	1018
12316	9866	203
14060	2378	0
50702	1732	0
624286	999	1
214403	2887	1
545366	1602	3
12628	4365	62
240776	3957	1
75910	551	0
226472	591	0
214498	2678	1229
26878	4578	2
69367	3730	383
20822	8721	541
56207	1851	843
19735	3009	1372
100861894	494	0
246709	1497	0
50778	1330	6
624910	459	0
64214	1859	0
215378	3172	0
100043240	3910	73
791353	1179	0
100503781	490	0
18783	2846	1262
320019	1098	0
19225	4150	551
100043257	532	3268
100043261	345	3
20028	1247	0
75584	610	0
226499	3242	592
108989	7550	3732
96875	4278	11
545370	18316	27
402734	2640	0
73176	1674	0
117198	5037	8596
66875	3668	385
98685	2665	297
19821	3028	1356
100503012	373	518
63913	3939	97
66967	6604	1895
69399	9754	1611
66637	1133	191
269132	4056	192
19731	3887	66
100861876	505	1
71281	1566	0
67771	1897	3178
100503084	519	1
17970	2596	20
226517	6069	2646
226518	4523	9
16782	5164	3781
226519	7622	4137
626058	2827	1
71836	2045	3
13211	4613	7916
74091	1403	1
67792	5804	0
329271	3337	0
19734	2335	347
24014	4758	671
240816	3640	1
240817	1654	1
433365	2527	0
240819	1415	0
14645	2782	12830
100861882	573	0
207678	1877	1
78112	613	0
12290	12697	1
15939	3270	14413
15064	2509	584
58244	2459	1176
207792	4611	26
100503411	2791	0
19775	7651	1953
433367	1751	3
72482	1942	869
16872	1853	0
100861926	688	0
104009	3361	2058
74081	13307	1156
208263	4439	2693
240832	8112	3958
329274	3687	0
214575	3443	23
170484	3108	3
77352	3297	2
20652	4785	251
11352	10714	1846
30935	3268	563
100503836	636	0
215015	4238	1706
78255	7133	220
72713	2190	4
73435	898	0
226525	10046	363
69953	1194	162
226527	1289	113
89867	4651	85
100504090	420	28
240843	4101	2
11899	7224	0
735253	109	0
23850	8585	0
72025	2475	0
26374	5056	348
100217414	118	1
21960	5395	8
67647	5391	3311
75255	887	43
329278	5812	7
64659	1970	639
12301	2115	1127
29809	9489	793
100316784	109	0
620246	1086	3
620750	465	3
381305	11011	2776
11905	2162	4
240869	3883	125
14455	2554	5446
100628588	91	0
100217446	65	26
226539	3581	230
70454	4327	173
226541	4037	182
73844	3723	0
100502590	954	0
11758	2334	4539
22164	1609	1
240873	2064	23
14103	1935	0
226551	6308	2534
75368	1164	0
67292	3301	261
103967	7523	49
72753	919	1
474332	7928	0
723821	110	0
387210	110	0
71449	2791	198
53330	2532	181
17926	2080	3
100038657	741	0
226562	10444	7890
226564	1787	9
14261	2326	414
55990	3336	1599
226565	1870	0
14262	2010	175
78258	2956	0
18933	7448	16
98376	2509	215
240879	1053	0
16579	3907	438
240880	4069	535
